exec_id,단품코드,채널,전일재고_장,이동IN_장,정상가,실제판매_장,추가판매_장
1,SPBRGA9KG135150,네이버,0,5,15900,0,0
1,SPCKG11KU251140,네이버,0,2,39900,0,0
1,SPCKG24G0259085,네이버,0,2,29900,0,0
1,SPJJG24G0110090,네이버,0,20,49900,7,7
1,SPJJG25C0950110,네이버,0,2,39900,0,0
1,SPJJG25G0151090,네이버,0,6,39900,0,0
1,SPJJG25G0151095,네이버,0,8,39900,0,0
1,SPJJG37C0219105,네이버,0,4,39900,0,0
1,SPKWG24G0133090,네이버,0,8,29900,1,1
1,SPMNG23C6550100,네이버,0,2,49900,0,0
1,SPRWG25C0285105,네이버,0,7,15900,1,1
1,SPRWGA9KU299160,네이버,0,6,19900,0,0
1,SPTCG25G1119070,네이버,17,8,39900,21,4
1,SPTHG37G1119075,네이버,6,8,25900,6,0
1,SPTNG37C0117080,네이버,0,2,39900,0,0
1,SPWHG23W1119070,네이버,0,4,39900,0,0
1,SPWRGA9KG310140,네이버,0,10,15900,2,2
1,SPWRGA9KG310150,네이버,0,6,15900,0,0
1,SPYSG23G0239090,네이버,0,6,39900,0,0
1,SPYSG23G0250090,네이버,0,4,39900,1,1
1,SPYWG37C5551105,네이버,1,3,39900,1,0
1,SPAKGA9KG626999,네이버,0,2,39900,2,2
1,SPCKG12KG159140,네이버,0,1,39900,0,0
1,SPMNG23C6249100,네이버,0,1,49900,0,0
1,SPMNG23C6519105,네이버,0,2,49900,0,0
1,SPMRGA9A1210105,네이버,0,6,15900,5,5
1,SPSMG24KU149130,네이버,0,3,39900,0,0
1,SPYJG23CY119110,네이버,0,2,49900,0,0
1,SPAKGA9KG691999,네이버,0,2,39900,0,0
1,SPJEG23G0255095,네이버,0,2,59900,0,0
1,SPJJG23M0119100,네이버,0,4,69900,0,0
1,SPSMG25KG120110,네이버,0,4,49900,0,0
1,SPSMG25KG120120,네이버,0,6,49900,0,0
1,SPSMG25KG120130,네이버,0,8,49900,1,1
1,SPSMG25KG120150,네이버,0,4,49900,0,0
1,SPSMG25KG151130,네이버,0,4,49900,0,0
1,SPBNG24W9159999,네이버,0,2,29900,0,0
1,SPJEG23C0215105,네이버,0,2,69900,0,0
1,SPPPG25U0125090,네이버,0,8,39900,0,0
1,SPPPG25U0125105,네이버,0,3,39900,0,0
1,SPPPG25U0140090,네이버,0,6,39900,1,1
1,SPPPG25U0151105,네이버,0,6,39900,2,2
1,SPPPG25U0525095,네이버,0,14,39900,0,0
1,SPPPG25U0525100,네이버,0,6,39900,0,0
1,SPPPG25U0550100,네이버,0,6,39900,1,1
1,SPPPG25U0650100,네이버,1,9,39900,8,7
1,SPPPG25U0825100,네이버,0,13,39900,0,0
1,SPPPG25U0930090,네이버,0,3,39900,1,1
1,SPPPG25U0951090,네이버,1,3,39900,1,0
1,SPPPG25U0951100,네이버,1,2,39900,0,0
1,SPPPG25U1010095,네이버,2,8,39900,2,0
1,SPWHG23W1360075,네이버,0,3,49900,0,0
1,SPWHG25G0135075,네이버,0,3,39900,0,0
1,SPPPG25KU125140,네이버,0,3,39900,3,3
1,SPPPG25KU125150,네이버,0,5,39900,2,2
1,SPRLG25U0519090,네이버,0,2,25900,0,0
1,SPSMG24KU135150,네이버,0,2,39900,1,1
1,SPSMG25KG151120,네이버,0,2,49900,0,0
1,SPSMG25KG151140,네이버,0,2,49900,0,0
1,SPAKGA9A7119999,무신사,0,4,39900,0,0
1,SPAKGA9A7349999,무신사,0,5,29900,4,4
1,SPBNG37W0439090,무신사,0,1,39900,0,0
1,SPHWG26C6159105,무신사,1,4,29900,0,0
1,SPJJG23C1115090,무신사,0,4,59900,0,0
1,SPJJG23C1115105,무신사,0,6,59900,0,0
1,SPJJG23CY199090,무신사,0,4,79900,0,0
1,SPJJG23G0119085,무신사,0,2,59900,0,0
1,SPJJG24G0119085,무신사,0,3,49900,2,2
1,SPJJG24M0316095,무신사,0,1,69900,0,0
1,SPJJG24M0316100,무신사,0,1,69900,0,0
1,SPJJG25C0995105,무신사,0,4,39900,4,4
1,SPJJG25C0995115,무신사,0,5,39900,0,0
1,SPJJG25C0999100,무신사,0,1,39900,1,1
1,SPJJG25C0999105,무신사,0,3,39900,0,0
1,SPJJG25GS110100,무신사,0,1,49900,0,0
1,SPJJG26C0159105,무신사,0,1,39900,1,1
1,SPKWG25M0219095,무신사,0,2,39900,1,1
1,SPKWG25M0219100,무신사,0,5,39900,4,4
1,SPKWG25M0219105,무신사,0,5,39900,3,3
1,SPKWG25M0219110,무신사,0,2,39900,1,1
1,SPKWG25M0259100,무신사,0,4,39900,3,3
1,SPKWG25M0259105,무신사,0,2,39900,2,2
1,SPLAG23U0359090,무신사,1,5,39900,0,0
1,SPLSG23C0459090,무신사,1,2,39900,1,0
1,SPMTG26C0219090,무신사,0,3,29900,3,3
1,SPMZG24G0564085,무신사,0,3,39900,0,0
1,SPOWG37G9051085,무신사,0,2,49900,1,1
1,SPOWG37G9051090,무신사,0,1,49900,0,0
1,SPOWG37G9060095,무신사,0,4,49900,0,0
1,SPPPG25U2610090,무신사,0,6,39900,0,0
1,SPPPG25U2610095,무신사,0,6,39900,0,0
1,SPRLG25U1510100,무신사,0,2,25900,1,1
1,SPRLG25U1640090,무신사,0,3,25900,0,0
1,SPRLG25U1640095,무신사,0,4,25900,0,0
1,SPRLG25U1640100,무신사,0,4,25900,0,0
1,SPRLG25U2010090,무신사,0,4,25900,0,0
1,SPRLG25U2010105,무신사,3,7,25900,1,0
1,SPRLG37U1110095,무신사,3,9,35900,0,0
1,SPRLG37U1420095,무신사,15,18,25900,1,0
1,SPRLG37U1499105,무신사,0,4,25900,0,0
1,SPRLG37U4385090,무신사,1,19,29900,1,0
1,SPRNG37GY010095,무신사,1,13,19900,1,0
1,SPRPG25C5010095,무신사,3,6,19900,1,0
1,SPRPG37G5133090,무신사,1,3,25900,0,0
1,SPRPG37G5459070,무신사,0,8,29900,0,0
1,SPRWG37G0259090,무신사,1,6,19900,1,0
1,SPRWG37G0735075,무신사,0,3,35900,0,0
1,SPRWG37G1103090,무신사,2,2,25900,3,1
1,SPTCG23C0160082,무신사,0,3,49900,1,1
1,SPTCG23G0119067,무신사,0,3,49900,0,0
1,SPTCG23G0539067,무신사,0,1,49900,1,1
1,SPTCG37G9119075,무신사,0,5,49900,1,1
1,SPTHG23WY119075,무신사,0,17,39900,2,2
1,SPTHG37G1219075,무신사,4,4,25900,1,0
1,SPTJG37C5259074,무신사,0,3,49900,0,0
1,SPTJG37C5259086,무신사,0,3,49900,1,1
1,SPTJGA9C2119090,무신사,0,1,49900,0,0
1,SPTNG25G0257075,무신사,2,7,39900,1,0
1,SPTNG25G0257080,무신사,1,3,39900,0,0
1,SPTNG37C0159090,무신사,0,2,39900,0,0
1,SPWHG23W1219080,무신사,0,6,49900,0,0
1,SPWHG37GY219070,무신사,0,4,49900,0,0
1,SPYJG24C0155090,무신사,0,3,39900,1,1
1,SPYWG23C0116095,무신사,0,4,39900,0,0
1,SPYWG23C0125105,무신사,0,2,39900,1,1
1,SPYWG25G0110090,무신사,0,3,35900,1,1
1,SPYWG25G0110095,무신사,0,4,35900,2,2
1,SPYWG25G0151085,무신사,1,14,35900,2,1
1,SPYWG25G0151090,무신사,0,8,35900,1,1
1,SPYWG25G0159090,무신사,0,4,35900,1,1
1,SPYWG25M0410105,무신사,0,7,39900,5,5
1,SPACGA9A5159999,무신사,0,3,25900,1,1
1,SPAYGA9A1319100,무신사,6,5,15900,1,0
1,SPBWG37W0219090,무신사,0,2,49900,0,0
1,SPBWG37W0264090,무신사,0,4,49900,0,0
1,SPJJG23C1150090,무신사,1,7,59900,0,0
1,SPJJG23C1150095,무신사,0,4,59900,1,1
1,SPJJG23C1150100,무신사,0,4,59900,0,0
1,SPJJG26C0195100,무신사,0,4,39900,2,2
1,SPMZG23G5051095,무신사,0,2,49900,0,0
1,SPPJGA9A0219260,무신사,2,5,12900,3,1
1,SPRNG37GY010090,무신사,2,14,19900,4,2
1,SPRPG24G7010095,무신사,0,4,19900,0,0
1,SPRPG25C5059095,무신사,0,5,19900,1,1
1,SPRPG25C5062105,무신사,0,6,19900,0,0
1,SPRPGA9C7099095,무신사,7,4,29900,1,0
1,SPTHG26C0115075,무신사,0,3,49900,1,1
1,SPWHG37G1139075,무신사,3,5,39900,0,0
1,SPYWG25M0410100,무신사,0,6,39900,6,6
1,SPYWG25M0410110,무신사,1,4,39900,3,2
1,SPAWG11U0199999,무신사,0,22,29900,0,0
1,SPJJG23C0350110,무신사,0,6,69900,0,0
1,SPJJG23G0110095,무신사,0,2,59900,0,0
1,SPJJG23G0119090,무신사,0,3,59900,2,2
1,SPMNG23U0159095,무신사,1,3,49900,0,0
1,SPMRGA9A1235095,무신사,2,5,15900,0,0
1,SPMZG23G5064090,무신사,0,6,49900,1,1
1,SPJJG23C0319105,무신사,0,4,69900,4,4
1,SPJJG37GY125090,무신사,0,8,49900,0,0
1,SPKWG24G0233095,무신사,1,6,35900,1,0
1,SPLOG37G0119095,무신사,0,2,35900,0,0
1,SPOWG37G9010095,무신사,0,1,49900,0,0
1,SPOWG37G9051095,무신사,0,1,49900,0,0
1,SPPPG25U0140100,무신사,0,7,39900,2,2
1,SPPPG25U0140105,무신사,0,7,39900,0,0
1,SPPPG25U0140110,무신사,0,7,39900,3,3
1,SPPPG25U0640100,무신사,0,4,39900,1,1
1,SPPPG25U0925095,무신사,0,6,39900,1,1
1,SPPPG25U0925100,무신사,0,4,39900,0,0
1,SPWHG23W1360080,무신사,0,6,49900,0,0
1,SPWHG37GY219075,무신사,0,3,49900,0,0
1,SPWHG37GY319070,무신사,0,6,39900,0,0
1,SPWHG37GY319075,무신사,0,4,39900,0,0
1,SPWPGA9A1131095,무신사,0,12,7900,0,0
1,SPWPGA9A2019085,무신사,1,11,12900,0,0
1,SPWRGA9A1151100,무신사,0,9,19900,0,0
1,SPYCG23G0585095,무신사,1,2,39900,2,1
1,SPYCG37W9110999,무신사,0,2,49900,0,0
1,SPYCG37W9151999,무신사,0,1,49900,0,0
1,SPYWG37W9110999,무신사,0,2,39900,0,0
1,SPPPG23U0785070,무신사,0,5,29900,5,5
1,SPRLG25U0430090,무신사,9,4,25900,4,0
1,SPRLG25U0430095,무신사,13,6,25900,4,0
1,SPRLG25U0430100,무신사,0,6,25900,3,3
1,SPRLG25U0430105,무신사,0,3,25900,2,2
1,SPRLG25U0450105,무신사,2,4,25900,1,0
1,SPACG24A5060999,이랜드몰,0,14,25900,2,2
1,SPACG24A5119999,이랜드몰,0,3,19900,0,0
1,SPACGA9A5035999,이랜드몰,0,3,19900,0,0
1,SPAKG24A0239999,이랜드몰,0,6,25900,0,0
1,SPAKGA9A8019999,이랜드몰,0,4,39900,0,0
1,SPAKGA9A8164999,이랜드몰,0,2,49900,0,0
1,SPAYG25A0119090,이랜드몰,0,34,2900,0,0
1,SPAYGA9A0310095,이랜드몰,0,24,9900,0,0
1,SPAYGA9KU010140,이랜드몰,3,22,9900,2,0
1,SPBNG37W0250085,이랜드몰,0,1,39900,1,1
1,SPBNG37W0439085,이랜드몰,0,1,39900,0,0
1,SPBNG38W9319085,이랜드몰,0,11,39900,1,1
1,SPBNG38W9519095,이랜드몰,0,1,39900,0,0
1,SPBWG25W0119085,이랜드몰,0,5,39900,2,2
1,SPBWG25W0210085,이랜드몰,0,2,39900,0,0
1,SPBWG37W0110095,이랜드몰,0,1,39900,1,1
1,SPBWG37W1151085,이랜드몰,0,2,39900,0,0
1,SPCKG12G5139095,이랜드몰,5,4,49900,7,2
1,SPCKG24G0126090,이랜드몰,0,2,29900,0,0
1,SPCKG24G0141095,이랜드몰,0,3,29900,0,0
1,SPCKG24G0220095,이랜드몰,0,2,29900,2,2
1,SPCKG24G0279090,이랜드몰,0,2,29900,0,0
1,SPCKG24G0279095,이랜드몰,0,4,29900,0,0
1,SPCKG24G0285090,이랜드몰,0,2,29900,0,0
1,SPCKG24G0285095,이랜드몰,0,4,29900,0,0
1,SPCKG25G0159100,이랜드몰,0,5,35900,0,0
1,SPCKG25G5016085,이랜드몰,0,4,39900,0,0
1,SPCKG25G5016090,이랜드몰,0,4,39900,0,0
1,SPCKG25G5026095,이랜드몰,0,4,39900,0,0
1,SPCKG25G5059085,이랜드몰,0,4,39900,0,0
1,SPCKG25G5059090,이랜드몰,0,6,39900,0,0
1,SPCKG25G5095085,이랜드몰,0,2,39900,0,0
1,SPCKG25G5095090,이랜드몰,0,6,39900,0,0
1,SPCKG25G5095095,이랜드몰,0,11,39900,0,0
1,SPCKG25M0119105,이랜드몰,0,1,49900,0,0
1,SPCKG37G0139095,이랜드몰,0,3,29900,2,2
1,SPCKG37G0151090,이랜드몰,0,3,29900,0,0
1,SPCKG37G0176090,이랜드몰,0,2,29900,1,1
1,SPCKG37G0231085,이랜드몰,0,3,29900,0,0
1,SPCKG37G0231090,이랜드몰,0,3,29900,0,0
1,SPCKG37G0231095,이랜드몰,0,3,29900,0,0
1,SPCKG37WS333090,이랜드몰,0,5,39900,0,0
1,SPDRGA9M0110110,이랜드몰,0,3,29900,1,1
1,SPFZG11C0122090,이랜드몰,0,2,29900,0,0
1,SPHWG25C5350090,이랜드몰,0,12,29900,0,0
1,SPHWG25G5026085,이랜드몰,0,19,29900,4,4
1,SPHWG25G5026090,이랜드몰,0,4,29900,2,2
1,SPJJG23M0649095,이랜드몰,0,2,79900,0,0
1,SPJJG24G0110085,이랜드몰,0,4,49900,4,4
1,SPJJG24M0122100,이랜드몰,0,2,79900,0,0
1,SPJJG24M0122110,이랜드몰,0,2,79900,0,0
1,SPJJG24M0158100,이랜드몰,0,2,79900,0,0
1,SPJJG24M0158110,이랜드몰,0,3,79900,0,0
1,SPJJG24M0235105,이랜드몰,0,1,79900,0,0
1,SPJJG24M0259100,이랜드몰,0,1,79900,0,0
1,SPJJG25C0916115,이랜드몰,0,3,39900,0,0
1,SPJJG25C0959115,이랜드몰,0,2,39900,1,1
1,SPJJG25G0110085,이랜드몰,0,8,39900,6,6
1,SPJJG25G0110100,이랜드몰,0,10,39900,0,0
1,SPJJG25GS110095,이랜드몰,0,2,49900,0,0
1,SPJJG26G0115085,이랜드몰,0,1,39900,0,0
1,SPJJG26G0115090,이랜드몰,0,1,39900,0,0
1,SPJJG26G0119085,이랜드몰,0,7,39900,0,0
1,SPJJG37C0210095,이랜드몰,0,1,39900,1,1
1,SPJJG37C0210100,이랜드몰,0,2,39900,0,0
1,SPJJG37C0210105,이랜드몰,0,2,39900,1,1
1,SPJJG37C0260105,이랜드몰,0,2,39900,1,1
1,SPJJG37G0119085,이랜드몰,0,14,39900,0,0
1,SPJJG37G0119090,이랜드몰,0,18,39900,3,3
1,SPJJG37G0210095,이랜드몰,0,22,39900,3,3
1,SPJKG24M2317100,이랜드몰,0,4,79900,0,0
1,SPJKG24M2317105,이랜드몰,0,4,79900,0,0
1,SPJKG25W0135085,이랜드몰,0,3,69900,0,0
1,SPJKG25W0139090,이랜드몰,0,3,69900,0,0
1,SPJKGA9M0219095,이랜드몰,0,2,79900,1,1
1,SPJKGA9M0260105,이랜드몰,0,2,79900,0,0
1,SPJKGA9M23TC110,이랜드몰,0,1,79900,0,0
1,SPJKGA9W0119085,이랜드몰,0,2,79900,0,0
1,SPJKGA9W0217085,이랜드몰,0,2,79900,0,0
1,SPJLG12M0164095,이랜드몰,0,2,89900,0,0
1,SPJPG11C1119095,이랜드몰,0,12,69900,9,9
1,SPJPG11C2216100,이랜드몰,1,2,49900,2,1
1,SPJPG11C2219090,이랜드몰,4,4,49900,8,4
1,SPJPG11C2219095,이랜드몰,0,6,49900,6,6
1,SPJPG11C2219100,이랜드몰,0,11,49900,11,11
1,SPJPG11C2219105,이랜드몰,0,13,49900,13,13
1,SPJPG11C2219110,이랜드몰,1,14,49900,14,13
1,SPJPG11C24PB110,이랜드몰,0,4,59900,4,4
1,SPJPG11C31B2095,이랜드몰,0,1,79900,0,0
1,SPJPG11G1639085,이랜드몰,20,3,89900,6,0
1,SPJPG11G1651085,이랜드몰,0,3,89900,3,3
1,SPJPG12CY150100,이랜드몰,0,2,69900,0,0
1,SPJPG12CY150105,이랜드몰,0,2,69900,0,0
1,SPJPG12CY159090,이랜드몰,0,3,69900,0,0
1,SPJPG12G2226085,이랜드몰,0,3,29900,1,1
1,SPJWG11M0119100,이랜드몰,0,1,129000,0,0
1,SPJWG11W0119090,이랜드몰,0,3,129000,0,0
1,SPKAG23W0279090,이랜드몰,0,4,29900,0,0
1,SPKAG23W0279095,이랜드몰,0,4,29900,0,0
1,SPKWG12C5085095,이랜드몰,8,2,49900,10,2
1,SPKWG12G5059085,이랜드몰,0,3,39900,0,0
1,SPKWG23G0319090,이랜드몰,0,2,39900,0,0
1,SPKWG24G0219090,이랜드몰,0,4,35900,2,2
1,SPKWG24G0239085,이랜드몰,0,6,35900,2,2
1,SPKWG25M0116105,이랜드몰,0,5,39900,1,1
1,SPKWG25M0264100,이랜드몰,0,4,39900,1,1
1,SPKWG25M0264110,이랜드몰,0,2,39900,0,0
1,SPKWG25M0286110,이랜드몰,0,2,39900,0,0
1,SPKWG25M0459110,이랜드몰,0,4,39900,0,0
1,SPKWG37M0419100,이랜드몰,0,2,39900,0,0
1,SPKWG38G0159100,이랜드몰,0,3,29900,0,0
1,SPLOG37A0259095,이랜드몰,0,3,39900,0,0
1,SPLOG37A0264095,이랜드몰,0,5,39900,0,0
1,SPLOG37A0451100,이랜드몰,0,4,39900,0,0
1,SPLOG37A0551100,이랜드몰,0,2,39900,0,0
1,SPLOG37A0559095,이랜드몰,0,2,39900,0,0
1,SPLOG37A0559100,이랜드몰,0,2,39900,0,0
1,SPLOG37A0559105,이랜드몰,0,2,39900,2,2
1,SPLOG37A20BD085,이랜드몰,0,2,29900,0,0
1,SPLOG37A20BD090,이랜드몰,0,3,29900,0,0
1,SPLOG37A20BE085,이랜드몰,0,2,29900,1,1
1,SPLOG37A20BE090,이랜드몰,0,4,29900,0,0
1,SPLOG37A98AC090,이랜드몰,0,4,29900,0,0
1,SPLWG12GY059090,이랜드몰,0,3,49900,0,0
1,SPLWG23C0239095,이랜드몰,0,2,35900,0,0
1,SPLWG23C0260105,이랜드몰,0,2,35900,0,0
1,SPMNG12C5085090,이랜드몰,0,2,39900,2,2
1,SPMTG25C6119070,이랜드몰,0,4,29900,1,1
1,SPMTG25C61AA070,이랜드몰,0,4,29900,1,1
1,SPMTG25C61AA075,이랜드몰,0,6,29900,1,1
1,SPMTG26C02AA070,이랜드몰,0,4,29900,0,0
1,SPMTG26C02AA075,이랜드몰,0,3,29900,0,0
1,SPMTG37C1119090,이랜드몰,0,4,29900,0,0
1,SPMZG11C6033095,이랜드몰,2,4,49900,0,0
1,SPMZG37G02AC085,이랜드몰,0,12,39900,1,1
1,SPMZG37G02AC090,이랜드몰,0,7,39900,0,0
1,SPOWG37G9060090,이랜드몰,0,1,49900,0,0
1,SPOWG37G9110085,이랜드몰,0,7,59900,1,1
1,SPOWG37W0117090,이랜드몰,0,6,49900,0,0
1,SPPPG23U0530090,이랜드몰,0,4,39900,0,0
1,SPPPG23U0530105,이랜드몰,0,6,39900,0,0
1,SPPPG23U0850100,이랜드몰,0,3,39900,0,0
1,SPPPG25U0476090,이랜드몰,0,14,39900,1,1
1,SPPPG25U0476100,이랜드몰,0,12,39900,0,0
1,SPPPG37U0151090,이랜드몰,0,5,39900,0,0
1,SPPPG37U0330090,이랜드몰,0,6,39900,1,1
1,SPPPG37U0330095,이랜드몰,0,8,39900,1,1
1,SPPPG37U0330100,이랜드몰,0,8,39900,0,0
1,SPPPG37U2430095,이랜드몰,0,4,39900,0,0
1,SPRLG23U0259100,이랜드몰,0,8,35900,0,0
1,SPRLG23U0259105,이랜드몰,0,4,35900,0,0
1,SPRLG37U4099090,이랜드몰,0,6,35900,0,0
1,SPRLG37U4099095,이랜드몰,0,7,35900,1,1
1,SPRNG37G0119090,이랜드몰,0,6,19900,0,0
1,SPRNG37G0133085,이랜드몰,0,3,19900,0,0
1,SPRNG37G0133095,이랜드몰,0,6,19900,0,0
1,SPRNG37G0139090,이랜드몰,0,6,19900,0,0
1,SPRNG37G01CB085,이랜드몰,0,5,19900,0,0
1,SPRNG37G03AC090,이랜드몰,0,7,19900,0,0
1,SPRNG37G03AC095,이랜드몰,0,7,19900,0,0
1,SPRNG37G0519095,이랜드몰,0,3,19900,0,0
1,SPRNG37G2219085,이랜드몰,0,7,19900,1,1
1,SPRNG37G8019085,이랜드몰,0,5,29900,1,1
1,SPRNG37G8019090,이랜드몰,0,3,29900,0,0
1,SPRNG37G9710090,이랜드몰,0,3,19900,0,0
1,SPRNG37G9719090,이랜드몰,0,3,19900,0,0
1,SPRPG24G5159085,이랜드몰,0,5,19900,0,0
1,SPRPG24G5160085,이랜드몰,0,15,19900,1,1
1,SPRPG25C50AA105,이랜드몰,0,4,19900,0,0
1,SPRPG25C5119110,이랜드몰,0,8,25900,0,0
1,SPRPG25G5026085,이랜드몰,0,7,29900,0,0
1,SPRPG25G5210085,이랜드몰,0,5,25900,0,0
1,SPRPG25G5210090,이랜드몰,0,5,25900,0,0
1,SPRPG25G5259095,이랜드몰,0,4,25900,0,0
1,SPRPG26C6110095,이랜드몰,0,2,25900,0,0
1,SPRPG26C6159095,이랜드몰,0,2,25900,2,2
1,SPRPG26C6159100,이랜드몰,0,2,25900,1,1
1,SPRPG26C6159105,이랜드몰,0,2,25900,0,0
1,SPRPG26C6164105,이랜드몰,0,3,25900,0,0
1,SPRPG26C6185095,이랜드몰,0,2,25900,0,0
1,SPRPG26C6185105,이랜드몰,0,2,25900,0,0
1,SPRPG37C5110090,이랜드몰,0,2,25900,0,0
1,SPRPG37C5110095,이랜드몰,0,4,25900,0,0
1,SPRPG37C5110100,이랜드몰,0,3,25900,0,0
1,SPRPG37C5110105,이랜드몰,0,2,25900,0,0
1,SPRPG37C5119090,이랜드몰,0,2,25900,0,0
1,SPRPG37C6160100,이랜드몰,0,2,29900,0,0
1,SPRPG37G3310085,이랜드몰,0,4,19900,0,0
1,SPRPG37G3339085,이랜드몰,0,4,19900,0,0
1,SPRPG37G5110085,이랜드몰,0,6,25900,0,0
1,SPRPG37G5110090,이랜드몰,0,4,25900,0,0
1,SPRPG37G5110095,이랜드몰,0,6,25900,0,0
1,SPRPG37G5133095,이랜드몰,0,4,25900,0,0
1,SPRPG37G51AA090,이랜드몰,0,3,25900,0,0
1,SPRPG37G5229090,이랜드몰,0,6,19900,0,0
1,SPRPG37G5229095,이랜드몰,0,4,19900,0,0
1,SPRPG37G5259090,이랜드몰,0,4,19900,0,0
1,SPRPG37G5315085,이랜드몰,0,4,19900,0,0
1,SPRPG37G54AC070,이랜드몰,0,7,29900,0,0
1,SPRPGA9C73AA100,이랜드몰,0,3,19900,2,2
1,SPRSG24G0130085,이랜드몰,0,13,25900,1,1
1,SPRSG24G0130095,이랜드몰,0,12,25900,0,0
1,SPRSG25C0415095,이랜드몰,0,18,29900,0,0
1,SPRSG25M0119100,이랜드몰,0,14,29900,0,0
1,SPRSG25M01AC090,이랜드몰,0,6,29900,0,0
1,SPRWG25C0210090,이랜드몰,0,10,15900,1,1
1,SPRWG25C0210095,이랜드몰,0,15,15900,1,1
1,SPRWG25C0219105,이랜드몰,1,13,15900,0,0
1,SPRWG25C02AD090,이랜드몰,0,6,15900,1,1
1,SPRWG25C02AD095,이랜드몰,0,8,15900,0,0
1,SPRWG25C02AD100,이랜드몰,0,13,15900,0,0
